Address,Building Name,Neighborhood,City,Price (Last Known),PPSF,R,Bd,Total Ba,MLS Ba,Full Ba,HBa,Sq Ft,Monthly Fees,Monthly Fees & Taxes,Taxes Per Mo.,MLS Property Type,MLS Property Subtype,Compass Property Type,Status,DOM,Updated Date,Listed Date,Listed Price,Last Asking,Contract Date,Sold Price,Closed Price Verification,Sold Date,Open House,Open House Type,ZIP,Building Size,Lot Size,Outdoor Space,Year Built,Service Level,Building Units,Notes,,
"7 Park Ave, Unit A",7 Park Ave,Murray Hill,Manhattan,"$527,500",$659,1,1,1,1,1,,800,"$1,790","$1,790",,,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"200 E 36th St, Unit 6J",200 E 36th St,Murray Hill,Manhattan,"$345,000",,2,Studio,1,1,1,,,$858,$858,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"136 E 36th St, Unit 5E",136 E 36th St,Murray Hill,Manhattan,"$283,500",,1,Studio,1,1,1,,,$844,$844,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"100 Riverside Blvd, Unit 9R",The Avery,Upper West Side,Manhattan,"$1,175,000","$1,142",5,2,2,2,2,,"1,029","$1,198","$2,816","$1,618",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"120 Riverside Blvd, Unit 6S",120 Riverside Boulevard,Upper West Side,Manhattan,"$1,820,000","$1,411",5,2,2,2,2,,"1,290","$1,749","$3,166","$1,417",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"120 Riverside Blvd, Unit 4K",120 Riverside Boulevard,Upper West Side,Manhattan,"$650,000","$1,102",1,Studio,1,1,1,,590,$776,"$1,526",$750,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"240 Riverside Blvd, Unit 4N",The Heritage,Upper West Side,Manhattan,"$810,000","$1,024",3,1,1,1,1,,791,"$1,407","$2,276",$869,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"333 E 46th St, Unit 11E",333 E 46th St,Midtown East,Manhattan,"$550,000",,2,Studio,1,1,1,,,$932,$932,,Co-op/Condop,,Co-op/Condop,Sold,,,,,,,,,,,,,,,,,,,,,
"240 E 46th St, Unit 12A",240 East 46th Street Condominium,Midtown East,Manhattan,"$433,000","$1,019",2,Studio,1,1,1,,425,$550,"$1,030",$480,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"453 W 143rd St, Unit F",453 W 143rd St,Hamilton Heights,Manhattan,"$750,000",$705,,,,,,,"1,064",,,,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"100 Riverside Blvd, Unit 12T",The Avery,Upper West Side,Manhattan,"$715,000",$941,3,1,1,1,1,,760,$926,"$2,164","$1,238",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"211 E 51st St, Unit 3A",211 E 51st St,Midtown East,Manhattan,"$825,000","$1,213",4,1,1,1,1,,680,$612,"$1,327",$715,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"30 E 37th St, Unit 2G",30 E 37th St,Murray Hill,Manhattan,"$570,000","$1,185",2,Studio,1,1,1,,481,$598,"$1,124",$526,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"139 E 33rd St, Unit 5M",The Wendhorn,Midtown South,Manhattan,"$435,000",$791,2,Studio,1,1,1,,550,$854,$854,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"303 E 43rd St, Unit 28C",International Plaza,Midtown East,Manhattan,"$890,000",$946,3,1,2,1.5,1,1,941,$855,"$2,259","$1,404",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"201 E 37th St, Unit 14B",201 E 37th St,Murray Hill,Manhattan,"$630,000",,3,1,1,1,1,,,"$1,240","$1,240",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"321 E 45th St, Unit 14E",321 E 45th St,Midtown East,Manhattan,"$349,000",,2,Studio,1,1,1,,,"$1,099","$1,099",,,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"224 E 52nd St, Unit 23",The Enclave,Midtown East,Manhattan,"$950,000",,4,1,1,1,1,,,$978,"$2,070","$1,092",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"220 Riverside Blvd, Unit 6B",220 Riverside Boulevard,Upper West Side,Manhattan,"$980,000","$1,114",3,1,1,1,1,,880,$994,"$1,971",$977,Condominium/Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"220 Riverside Blvd, Unit 14K",220 Riverside Boulevard,Upper West Side,Manhattan,"$1,425,000","$1,365",4,1,2,1.5,1,1,"1,044","$1,268","$2,647","$1,379",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"100 Riverside Blvd, Unit 9A",The Avery,Upper West Side,Manhattan,"$890,000",$977,3,1,1,1,1,,911,"$1,069","$2,778","$1,709",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"65 E 96th St, Unit 10A",65 E 96th St,Upper East Side,Manhattan,"$2,200,000","$1,375",6,3,3,3,3,,"1,600","$1,773","$3,499","$1,726",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"240 E 47th St, Unit 14A",Dag Hammarskjold Tower,Midtown East,Manhattan,"$1,019,000","$1,343",,1,,1,,,759,,,,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"240 E 47th St, Unit 36F",Dag Hammarskjold Tower,Midtown East,Manhattan,"$1,135,000","$1,007",,,,,,,"1,127",,,,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"220 E 54th St, Unit 9A",The Leslie House,Midtown East,Manhattan,"$632,500",,3,1,1,1,1,,,"$1,400","$1,400",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"16 E 98th St, Unit 2E",16 E 98th St,Upper East Side,Manhattan,"$945,000",,5,2,2,1.5,1,1,,"$2,019","$2,019",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"464-468 W 51st St, Unit 2E",464-468 W 51st St,Hell's Kitchen,Manhattan,"$330,000",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"310 Lexington Ave, Unit 2C",310 Lexington Ave,Murray Hill,Manhattan,"$420,000",$800,2,Studio,1,1,1,,525,$802,$802,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"230 E 50th St, Unit 1A",230 E 50th St,Midtown East,Manhattan,"$650,000",$650,3,1,2,1.5,1,1,"1,000","$2,354","$2,354",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"100 Riverside Blvd, Unit 23A",The Avery,Upper West Side,Manhattan,"$1,650,000","$1,427",4,2,2,2,2,,"1,156","$1,332","$3,408","$2,076",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"148 W 121st St, Unit 4",148 W 121st St,Harlem,Manhattan,"$930,000",$820,4,2,2,2,2,,"1,134",$623,$836,$213,Condominium/Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"220 Riverside Blvd, Unit 8U",220 Riverside Boulevard,Upper West Side,Manhattan,"$935,000","$1,210",3,1,1,1,1,,773,$874,"$1,788",$914,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"100 Riverside Blvd, Unit 5A",The Avery,Upper West Side,Manhattan,"$300,000",$329,,2,,1,1,,911,$888,"$1,713",$826,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"400 E 56th St, Unit 17M",Plaza 400,Midtown East,Manhattan,"$649,000",$947,3,1,1,1,1,,685,"$1,329","$1,329",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"7 Park Ave, Unit 104",7 Park Ave,Murray Hill,Manhattan,"$540,000",,3,1,1,1,1,,,"$1,733","$1,733",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"35 E 38th St, Unit 11E",35 E 38th St,Murray Hill,Manhattan,"$700,000",$686,3,1,1,1,1,,"1,021","$1,472","$3,051","$1,579",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"10 Mitchell Pl, Unit 6G",Stewart Hall,Midtown East,Manhattan,"$450,000",,3,1,1,1,1,,,"$1,599","$1,599",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
447 W 47th St,447 W 47th St,Hell's Kitchen,Manhattan,"$5,468,235",$711,,,,,,,"7,686",,,,House/Building,Undefined Multi Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,,,,,,,,,,,,,,,
406 W 48th St,406 W 48th St,Hell's Kitchen,Manhattan,"$5,758,704",$591,,,,,,,"9,750",,,,House/Building,Undefined Multi Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,,,,,,,,,,,,,,,
534 W 47th St,534 W 47th St,Hell's Kitchen,Manhattan,"$4,000,000",$403,,,,,,,"9,925",,,,House/Building,Undefined Multi Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,,,,,,,,,,,,,,,
"333 E 34th St, Unit 2M",The Devon,Murray Hill,Manhattan,"$980,000","$1,071",4,2,1,1,1,,915,$664,"$1,653",$989,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"7 Park Ave, Unit 74",7 Park Ave,Murray Hill,Manhattan,"$524,000",$873,3,1,1,1,1,,600,"$1,562","$1,562",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"250 E 40th St, Unit 3C",The Highpoint,Murray Hill,Manhattan,"$534,000",,2,Studio,1,1,1,,,$486,$905,$419,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"225 E 36th St, Unit 4O",Murray Hill Crescent,Murray Hill,Manhattan,"$640,000",$753,4,1,1,1,1,,850,"$1,611","$1,611",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"120 Riverside Blvd, Unit 2A",120 Riverside Boulevard,Upper West Side,Manhattan,"$2,095,000","$1,553",4,2,,2,,,"1,349","$1,829","$3,421","$1,592",,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"333 E 46th St, Unit 20B",333 E 46th St,Midtown East,Manhattan,"$742,500",$874,3,1,1,1,1,,850,"$2,279","$2,279",,Co-op/Condop,,Co-op/Condop,Sold,,,,,,,,,,,,,,,,,,,,,
"223 E 50th St, Unit 2D",223 E 50th St,Midtown East,Manhattan,"$445,000",,3,1,1,1,1,,,$934,$934,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"317 W 54th St, Unit 1E",317 W 54th St,Hell's Kitchen,Manhattan,"$315,000",,2,Studio,1,1,1,,,$646,$646,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"220 Riverside Blvd, Unit 15V",220 Riverside Boulevard,Upper West Side,Manhattan,"$730,000","$1,033",3,1,1,1,1,,707,$833,"$1,908","$1,075",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"120 Riverside Blvd, Unit PH2A",120 Riverside Boulevard,Upper West Side,Manhattan,"$1,950,000","$1,446",4,2,2,2,2,,"1,349","$1,829","$3,421","$1,592",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"400 E 56th St, Unit 3K",Plaza 400,Midtown East,Manhattan,"$475,000",$770,3,1,1,1,1,,617,"$1,097","$1,097",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"220 Riverside Blvd, Unit 4B",220 Riverside Boulevard,Upper West Side,Manhattan,"$875,000",$994,3,1,1,1,1,,880,"$1,042","$2,178","$1,136",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
410 W 48th St,410 W 48th St,Hell's Kitchen,Manhattan,"$10,084,984",$585,,,,,,,"17,225",,,,House/Building,Undefined Multi Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,,,,,,,,,,,,,,,
"100 Riverside Blvd, Unit 23A",The Avery,Upper West Side,Manhattan,"$1,666,000","$1,441",4,2,2,2,2,,"1,156","$1,332","$3,408","$2,076",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"301 E 48th St, Unit 9C",Marlo Towers,Midtown East,Manhattan,"$650,000",$650,4,1,1,1,1,,"1,000","$1,923","$1,923",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"12 E 97th St, Unit 7D",12 E 97th St,Upper East Side,Manhattan,"$655,000",,4,2,1,1,1,,,"$1,868","$1,868",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"65 E 96th St, Unit 15D",65 E 96th St,Upper East Side,Manhattan,"$2,200,000","$1,375",6,3,3,3,3,,"1,600","$1,702","$3,383","$1,681",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"12 E 97th St, Unit 5F",12 E 97th St,Upper East Side,Manhattan,"$635,000",,3,1,1,1,1,,,"$1,756","$1,756",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"321 E 54th St, Unit 2F",321 E 54th St,Midtown East,Manhattan,"$345,000",,2,Studio,1,1,1,,,$910,$910,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"200 Riverside Blvd, Unit 12H",200 Riverside Blvd,Upper West Side,Manhattan,"$965,000",$965,4,2,2,1.5,1,1,"1,000",$914,"$1,758",$844,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"400 E 56th St, Unit 16A",Plaza 400,Midtown East,Manhattan,"$499,000",$853,3,1,1,1,1,,585,"$1,205","$1,205",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"2280 Frederick Douglass Blvd, Unit 2B",2280 Frederick Douglass Blvd,Harlem,Manhattan,"$795,000","$1,042",3,1,1,1,1,,763,$863,$871,$8,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"319 E 50th St, Unit PHJ",319 E 50th St,Midtown East,Manhattan,"$605,000",,4,1,1,1,1,,,"$3,823","$3,823",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"10 Park Ave, Unit 12F",10 Park Ave,Murray Hill,Manhattan,"$490,000",$980,3,Alcove,1,1,1,,500,"$1,150","$1,150",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"310 E 46th St, Unit 14S",Turtle Bay Towers,Midtown East,Manhattan,"$592,500",,3,Studio,1,1,1,,,"$1,487","$1,487",,Co-op/Condop,,Co-op/Condop,Sold,,,,,,,,,,,,,,,,,,,,,
"310 E 46th St, Unit 17F",Turtle Bay Towers,Midtown East,Manhattan,"$510,000",,3,Studio,1,1,1,,,"$1,675","$1,675",,Co-op,,Co-op/Condop,Sold,,,,,,,,,,,,,,,,,,,,,
"310 E 46th St, Unit F17",Turtle Bay Towers,Midtown East,Manhattan,"$549,000",,2,1,1,1,1,,,"$1,674","$1,674",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"225 E 36th St, Unit 3P",Murray Hill Crescent,Murray Hill,Manhattan,"$405,000",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"225 E 36th St, Unit 15A",Murray Hill Crescent,Murray Hill,Manhattan,"$430,000",,,Studio,,1,1,,,$988,$988,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"150 E 37th St, Unit 2C",150 E 37th St,Murray Hill,Manhattan,"$535,000","$1,224",2,Alcove,1,1,1,,437,$495,"$1,122",$627,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"80 Riverside Blvd, Unit 12A",The Rushmore,Upper West Side,Manhattan,"$1,355,000","$1,425",4,2,2,2,2,,951,"$1,070","$2,928","$1,858",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"211 E 51st St, Unit 7A",211 E 51st St,Midtown East,Manhattan,"$835,000","$1,228",3,1,1,1,1,,680,$636,"$1,240",$603,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"317 W 54th St, Unit 1B",317 W 54th St,Hell's Kitchen,Manhattan,"$525,000",,3,1,1,1,1,,,"$1,022","$1,022",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"45 Tudor City Pl, Unit 1806",Prospect Tower,Midtown East,Manhattan,"$295,000",,1,Studio,1,1,1,,,$908,$908,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"335 E 51st St, Unit 10D",335 E 51st St,Midtown East,Manhattan,"$710,000",,3,1,1,1,1,,,$978,"$1,676",$698,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"420 E 55th St, Unit 9U",420 E 55th St,Midtown East,Manhattan,"$431,457",$796,2,Studio,1,1,1,,542,"$1,017","$1,017",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"5 W 120th St, Unit 3",5 W 120th St,Harlem,Manhattan,"$1,310,000","$1,092",,2,,2,2,,"1,200",$250,$685,$435,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"288 Lexington Ave, Unit 8G",288 Lexington Ave,Murray Hill,Manhattan,"$475,000",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"309 E 49th St, Unit 15C",309 E 49th St,Midtown East,Manhattan,"$1,150,000","$1,411",4,1,1,1.5,1,1,815,"$1,129","$2,224","$1,095",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"1170 5th Ave, Unit 11C",1170 5th Ave,Upper East Side,Manhattan,"$1,800,000",,6,3,3,3,3,,,"$3,899","$3,899",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"252 W 123rd St, Unit 2",Dover Condominiums,Harlem,Manhattan,"$900,000",$880,4,2,2,2,2,,"1,023",$579,$642,$63,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"2280 Frederick Douglass Blvd, Unit 9B",2280 Frederick Douglass Blvd,Harlem,Manhattan,"$1,600,000","$1,140",5,3,3,2.5,2,1,"1,404","$1,641","$1,656",$15,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"457 W 57th St, Unit 516",Addison Hall,Hell's Kitchen,Manhattan,"$295,000",,25,Studio,,1,,,,$860,$860,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"225 E 36th St, Unit 7B",Murray Hill Crescent,Murray Hill,Manhattan,"$370,000",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"433 E 51st St, Unit 8G",Southgate,Midtown East,Manhattan,"$570,000",,3,1,1,1,1,,,"$1,656","$1,656",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"400 E 56th St, Unit 37O",Plaza 400,Midtown East,Manhattan,"$875,000",$954,4,1,2,1.5,1,1,917,"$2,286","$2,286",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"120 Riverside Blvd, Unit 12G",120 Riverside Boulevard,Upper West Side,Manhattan,"$790,000","$1,097",3,1,1,1,1,,720,$952,"$1,915",$963,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"400 E 52nd St, Unit 6I",Southgate,Midtown East,Manhattan,"$430,000",,3,Studio,1,1,1,,,"$1,113","$1,113",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"220 Riverside Blvd, Unit 6L",220 Riverside Boulevard,Upper West Side,Manhattan,"$1,980,000","$1,362",5,2,2,2,2,,"1,454","$1,722","$3,655","$1,933",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"7 Mt Morris Park W, Unit A",7 Mt Morris Park W,Harlem,Manhattan,"$795,000",,5,2,,1.5,,,,$622,$790,$168,,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"200 E 36th St, Unit 4A",200 E 36th St,Murray Hill,Manhattan,"$312,000",,2,Studio,1,1,1,,,"$1,070","$1,070",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"345 W 55th St, Unit 9A",345 West 55th Street Tenants Corporation,Hell's Kitchen,Manhattan,"$600,000",,3,1,1,1,1,,,"$1,906","$1,906",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"372 5th Ave, Unit 9N",372 5th Ave,Midtown South,Manhattan,"$425,000",$773,3,Studio,1,1,1,,550,"$1,161","$1,161",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"321 E 43rd St, Unit 614",The Cloister,Midtown East,Manhattan,"$510,000",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"100 Riverside Blvd, Unit 3A",The Avery,Upper West Side,Manhattan,"$2,750,000","$1,599",7,3,4,3.5,3,1,"1,720","$2,404","$6,126","$3,722",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"209 E 56th St, Unit 9A",209 E 56th St,Midtown East,Manhattan,"$390,000",$696,3,Alcove,1,1,1,,560,"$1,174","$1,174",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"200 E 36th St, Unit 7E",200 E 36th St,Murray Hill,Manhattan,"$200,000",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"12 E 97th St, Unit 3B",12 E 97th St,Upper East Side,Manhattan,"$775,000",$795,4,2,1,1,1,,975,"$2,395","$2,395",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"321 E 43rd St, Unit 209",The Cloister,Midtown East,Manhattan,"$700,000",$700,4,2,2,2,2,,"1,000","$1,920","$1,920",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"434 E 52nd St, Unit 8A",434 E 52nd St,Midtown East,Manhattan,"$310,000",,2,Studio,1,1,1,,,"$1,108","$1,108",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"339 E 58th St, Unit 6H",339 E 58th St,Midtown East,Manhattan,"$325,000",,2,Studio,1,1,1,,,"$1,063","$1,063",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"132 E 35th St, Unit 2A",Murray Hill House,Murray Hill,Manhattan,"$475,000",,3,Alcove,1,1,1,,,$609,$609,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"245 E 54th St, Unit 7N",The Brevard,Midtown East,Manhattan,"$565,000",,3,1,1,1,1,,,"$1,101","$1,101",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"245 E 54th St, Unit 25B",The Brevard,Midtown East,Manhattan,"$546,000",$767,3,1,1,1,1,,712,"$1,378","$1,378",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"5 W 120th St, Unit 2",5 W 120th St,Harlem,Manhattan,"$1,310,000","$1,092",6,2,2,2,2,,"1,200",$251,$591,$340,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"245 E 54th St, Unit 25J",The Brevard,Midtown East,Manhattan,"$400,000",,2,1,1,1,1,,,$884,$884,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"111 E 56th St, Unit 401",The Lombardy,Midtown East,Manhattan,"$525,000",,3,1,1,1,1,,,"$4,748","$4,748",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"321 E 43rd St, Unit 815",The Cloister,Midtown East,Manhattan,"$310,000",,,Studio,,1,1,,,$735,$735,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"340 W 55th St, Unit 4A",The Sherwood,Hell's Kitchen,Manhattan,"$675,000",,4,1,2,1.5,1,1,,"$1,796","$1,796",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"12 E 97th St, Unit 3B",12 E 97th St,Upper East Side,Manhattan,"$775,000",$795,4,2,1,1,1,,975,"$2,395","$2,395",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"244 Madison Ave, Unit 16G",244 Madison Ave,Murray Hill,Manhattan,"$535,000",$892,,Studio,,1,,,600,$888,$888,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"245 W 122nd St, Unit 3",245 W 122nd St,Harlem,Manhattan,"$885,000",$973,4,2,1,1,1,,910,$189,$404,$215,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"100 Riverside Blvd, Unit 28BC",The Avery,Upper West Side,Manhattan,"$3,705,000","$1,601",8,4,4,3.5,3,1,"2,314","$2,835","$7,430","$4,595",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"245 E 54th St, Unit 4G",The Brevard,Midtown East,Manhattan,"$530,000",,3,1,1,1,1,,,"$1,193","$1,193",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"220 Riverside Blvd, Unit 28E",220 Riverside Boulevard,Upper West Side,Manhattan,"$1,025,000","$1,135",4,1,1,1,1,,903,"$1,072","$2,116","$1,044",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"303 E 37th St, Unit 4P",303 E 37th St,Murray Hill,Manhattan,"$338,000",$563,2,Studio,1,1,1,,600,$922,$922,,Co-op/Co-Operative,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"42 W 120th St, Unit 5D",Park Place Condominium,Harlem,Manhattan,"$765,000",$858,4,2,2,2,2,,892,$919,"$1,870",$951,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"35 Park Ave, Unit 2H",35 Park Ave,Murray Hill,Manhattan,"$405,000",,3,Alcove,1,1,1,,,$790,$790,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"35 Park Ave, Unit 2H",35 Park Ave,Murray Hill,Manhattan,"$405,000",,2,Studio,1,1,1,,,$790,$790,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"200 Riverside Blvd, Unit 21A",200 Riverside Blvd,Upper West Side,Manhattan,"$2,800,000",,6,3,3,3,3,,,"$2,521","$5,910","$3,389",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"200 E 36th St, Unit 12F",200 E 36th St,Murray Hill,Manhattan,"$400,000",$696,3,Alcove,1,1,1,,575,"$1,207","$1,207",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"11 E 36th St, Unit 903",Morgan Lofts,Midtown South,Manhattan,"$722,957","$1,322",2,Studio,1,1,1,,547,$633,"$1,384",$751,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"225 E 36th St, Unit 2L",Murray Hill Crescent,Murray Hill,Manhattan,"$359,000",,2,Studio,1,1,1,,,$810,$810,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"200 Riverside Blvd, Unit 27A",200 Riverside Blvd,Upper West Side,Manhattan,"$2,375,000","$1,340",6,3,3,3,3,,"1,773","$1,963","$4,963","$3,000",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"245 E 54th St, Unit 5A",The Brevard,Midtown East,Manhattan,"$625,000",,3,1,1,1,1,,,"$1,053","$1,053",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"320 E 57th St, Unit 11F",320 E 57th St,Midtown East,Manhattan,"$625,000",$758,3,1,1,1,1,,825,"$1,933","$1,933",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"421 W 57th St, Unit 2C",421 W 57th St,Hell's Kitchen,Manhattan,"$444,086",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"421 W 57th St, Unit 4F",421 W 57th St,Hell's Kitchen,Manhattan,"$313,000",,,Studio,,1,,,,$703,$703,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
